Name;Type;Contact Name;Address 1;Address 2;City;Province;Postal Code;Phone;Email;GST/TPS Number;QST/TVQ Number;Balance;Auxiliary Account
Boutique Lumière inc.;Client;Sophie Tremblay;1245 rue Sainte-Catherine Ouest;Suite 410;Montréal;QC;H3G 1P1;514-555-0101;sophie.tremblay@boutiquelumiere.ca;812345670RT0001;1212345671TQ0001;1250.75;C001
Construction Bélanger Ltée;Client;Marc Bélanger;789 boul. Industriel;;Laval;QC;H7L 4S3;450-555-0102;m.belanger@constructionbelanger.ca;812345671RT0001;1212345672TQ0001;8540.00;C002
Café du Vieux-Port;Client;Émilie Gagnon;45 rue de la Commune Est;;Montréal;QC;H2Y 1H8;514-555-0103;emilie@cafevieuxport.ca;812345672RT0001;1212345673TQ0001;325.50;C003
Garage Mécano Pro;Client;Jean-François Lavoie;3210 chemin de Chambly;;Longueuil;QC;J4L 1N4;450-555-0104;jf.lavoie@mecanopro.ca;812345673RT0001;1212345674TQ0001;1850.20;C004
Studio Photo Lumina;Client;Anaïs Beaulieu;512 avenue du Mont-Royal Est;;Montréal;QC;H2J 1W7;514-555-0105;anais@studiolumina.ca;812345674RT0001;1212345675TQ0001;0.00;C005
Fleuriste Pétales;Client;Mireille Dubois;128 rue Principale;;Saint-Jérôme;QC;J7Z 3A4;450-555-0106;mireille@petales.ca;812345675RT0001;1212345676TQ0001;420.85;C006
Librairie Le Signet;Client;Pierre Côté;67 rue Saint-Jean;;Québec;QC;G1R 1N4;418-555-0107;p.cote@librairielesignet.ca;812345676RT0001;1212345677TQ0001;612.40;C007
Salon Coiffure Élégance;Client;Caroline Roy;234 boul. Saint-Joseph;;Gatineau;QC;J8Y 3X7;819-555-0108;caroline@salonelegance.ca;812345677RT0001;1212345678TQ0001;180.00;C008
Pâtisserie Croissant d'Or;Client;Olivier Lemieux;890 rue Bernard Ouest;;Montréal;QC;H2V 1Z3;514-555-0109;olivier@croissantdor.ca;812345678RT0001;1212345679TQ0001;975.30;C009
Imprimerie Rapide;Client;Sylvie Pelletier;55 rue de l'Industrie;;Sherbrooke;QC;J1H 5N3;819-555-0110;s.pelletier@imprimerierapide.ca;812345679RT0001;1212345680TQ0001;2340.60;C010
Clinique Dentaire Sourire;Client;Dr. Antoine Fortin;1500 boul. Henri-Bourassa;Bureau 200;Québec;QC;G1G 3T2;418-555-0111;reception@cliniquesourire.ca;812345680RT0001;1212345681TQ0001;540.00;C011
Restaurant La Belle Époque;Client;Geneviève Morin;78 rue Saint-Paul Est;;Montréal;QC;H2Y 1G2;514-555-0112;genevieve@bellebreuque.ca;812345681RT0001;1212345682TQ0001;1820.45;C012
Boulangerie Artisanale du Coin;Client;Sébastien Cloutier;145 rue Wellington;;Sherbrooke;QC;J1H 5C7;819-555-0113;sebastien@boulangerieducoin.ca;812345682RT0001;1212345683TQ0001;485.90;C013
Quincaillerie Rive-Sud;Client;Daniel Bouchard;2890 boul. Taschereau;;Brossard;QC;J4W 1L8;450-555-0114;d.bouchard@quincailleriers.ca;812345683RT0001;1212345684TQ0001;3120.75;C014
Bijouterie Diamant Pur;Client;Vanessa Lévesque;320 rue Sherbrooke Ouest;;Montréal;QC;H3A 1B9;514-555-0115;vanessa@diamantpur.ca;812345684RT0001;1212345685TQ0001;0.00;C015
